,id,Venue,Locality,Sector,Venue Latitude,Venue Longitude,Local Latitude,Local Longitude,Distance
853,4e73b09388778d253b3f6a2a,Mumbai Central Anda Bhurji Walla,Mumbai Central,South,18.969646375346844,72.81936648893713,18.9695855,72.8193152,8.649501205151717
2630,4e1d935215207c4cbec55094,Chai Tapri,SEEPZ,West,19.125470499871625,72.87523914355685,19.125355600000002,72.8751701719707,14.678784870965435
1961,4f86d39fe4b0bd6fe0bc3d8d,Bakers & More,Tagore Road,West,19.0819054841995,72.8362816572189,19.0821047,72.836199,23.778941555354983
2686,50bcc72ee4b0ff66f97dc3fc,Seven Hills,Versova,West,19.130023822256124,72.82144376871943,19.13025205,72.8213774957082,26.298953777141993
506,4eaad53fdab40d132666b0e7,Say Cheese,Girgaon,South,18.95423508702571,72.81819872937999,18.9543165,72.8179082,31.846623400658984
1963,4f55e3c9e4b088020c0e2da4,Smart Frankiewala,Tagore Road,West,19.081805172714343,72.8362265663129,19.0821047,72.836199,33.41066316230182
928,4dbadff5fa8cee727321409e,Blue Waters,Jacob Circle,South,18.98111881016638,72.82709849646946,18.9810531,72.82678629995553,33.6093028268609
3565,4bc888858b7c9c74d94638cf,Cafe Coffee Day,Dahisar,North,19.24913592838122,72.85961640405797,19.2494501,72.85962059999999,34.91513193809446
3284,4b0587d9f964a52028a422e3,Borivali Biryani Centre,Orlem,North,19.19436784686813,72.83930204538672,19.1944819,72.8389662,37.45562902005223
2677,4f6c1cb1e4b01d94fb5fdad2,Appointment Restaurant,Versova,West,19.130105466527784,72.82169991164133,19.13025205,72.8213774957082,37.56531163537741
1268,4dbc0997f7b1ab37dd53269d,Shrikrishna Wada,Dadar,South,19.0194678725233,72.84253869785303,19.019282,72.8428757,40.989583926418376
2303,50f90d6ae4b06d876e497124,Global Fusion,Saki Naka,East,19.108244004465607,72.88317819041956,19.1082208,72.88358240000001,42.52120607392877
3278,4e9b072ed3e3697fc00f62ef,Mangoes,Orlem,North,19.194877364191935,72.83897221151027,19.1944819,72.8389662,43.95053153485391
1719,4f09b24de4b0540ca35e980e,Pandara Road,Bandra (East),West,19.06204697150799,72.84973340493269,19.0616565,72.8498111,44.151878110739986
849,4c1ce12db306c9284b8464b7,McDonald's,Mumbai Central,South,18.96972239217153,72.81975309512174,18.9695855,72.8193152,48.46754563531962
3082,4dd7f559ae60680f1513f642,China Garden,Mulund (East),East,19.170560395151014,72.96056738952487,19.1704719,72.9610447,51.05584112319536
2105,4e0e98c7b0fb59de67d8af1a,Ramkrishna Restaurant,Vile Parle (East),West,19.096514570321414,72.84795061444396,19.0962884,72.84837990000001,51.612137872565135
3125,4f4b287be4b0b1e3528e4644,lakhan paanwala,Mulund (West),East,19.17212,72.950705,19.1719717,72.95119559999999,54.06701156521165
3084,4c358f0aa0ced13a06ff196e,Monginis Cake Shop,Mulund (East),East,19.17062404928392,72.96055503196469,19.1704719,72.9610447,54.10643665756139
1878,4b0587cdf964a5205ca222e3,U Turn,Khar,West,19.072035806376245,72.83399939494075,19.072457500000002,72.8337068,56.03795561238093
1713,4e70b9551f6ec963ae191773,Domino's Pizza,Bandra (East),West,19.061311443040015,72.8494080033641,19.0616565,72.8498111,57.121007394784414
